<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.23	13:15:00	1.25420	1.25454	1.25420	1.25447	140	0	1
2023.11.23	13:20:00	1.25443	1.25537	1.25439	1.25537	137	0	1
2023.11.23	13:25:00	1.25541	1.25604	1.25511	1.25594	132	0	1
2023.11.23	13:30:00	1.25595	1.25625	1.25555	1.25604	159	0	1
2023.11.23	13:35:00	1.25599	1.25599	1.25566	1.25596	130	0	1
2023.11.23	13:40:00	1.25596	1.25627	1.25592	1.25611	120	0	1
2023.11.23	13:45:00	1.25610	1.25626	1.25551	1.25551	137	0	1
2023.11.23	13:50:00	1.25553	1.25584	1.25544	1.25557	115	0	1
2023.11.23	13:55:00	1.25558	1.25587	1.25552	1.25565	88	0	1
2023.11.23	14:00:00	1.25562	1.25583	1.25532	1.25532	141	0	1
2023.11.23	14:05:00	1.25532	1.25537	1.25505	1.25532	193	0	1
2023.11.23	14:10:00	1.25532	1.25546	1.25473	1.25504	172	0	1
2023.11.23	14:15:00	1.25501	1.25516	1.25492	1.25498	166	0	1
2023.11.23	14:20:00	1.25500	1.25525	1.25486	1.25499	142	0	1
2023.11.23	14:25:00	1.25498	1.25499	1.25473	1.25494	99	0	1
2023.11.23	14:30:00	1.25496	1.25501	1.25450	1.25462	118	0	1
2023.11.23	14:35:00	1.25466	1.25479	1.25443	1.25447	128	0	1
2023.11.23	14:40:00	1.25448	1.25452	1.25422	1.25430	169	0	1
2023.11.23	14:45:00	1.25431	1.25450	1.25397	1.25425	164	0	1
2023.11.23	14:50:00	1.25427	1.25456	1.25423	1.25446	145	0	1
2023.11.23	14:55:00	1.25444	1.25445	1.25400	1.25416	157	0	1
2023.11.23	15:00:00	1.25416	1.25433	1.25380	1.25382	157	0	1
2023.11.23	15:05:00	1.25379	1.25402	1.25363	1.25372	178	0	1
2023.11.23	15:10:00	1.25370	1.25393	1.25330	1.25374	170	0	1
2023.11.23	15:15:00	1.25379	1.25400	1.25344	1.25378	199	0	1
2023.11.23	15:20:00	1.25379	1.25393	1.25359	1.25383	141	0	1
2023.11.23	15:25:00	1.25379	1.25410	1.25360	1.25393	114	0	1
2023.11.23	15:30:00	1.25391	1.25404	1.25381	1.25402	115	0	1
2023.11.23	15:35:00	1.25400	1.25420	1.25390	1.25390	96	0	1
2023.11.23	15:40:00	1.25391	1.25421	1.25390	1.25405	89	0	1
2023.11.23	15:45:00	1.25405	1.25433	1.25402	1.25402	141	0	1
2023.11.23	15:50:00	1.25404	1.25413	1.25371	1.25375	149	0	1
2023.11.23	15:55:00	1.25375	1.25395	1.25360	1.25372	133	0	1
2023.11.23	16:00:00	1.25369	1.25377	1.25349	1.25349	171	0	1
2023.11.23	16:05:00	1.25345	1.25353	1.25324	1.25332	163	0	1
